Function,combination163,combination199,combination198,combination23,combination22,combination59,combination95,combination146,combination164,combination162,combination145,combination182,combination144,combination180,combination181,combination5,combination41,combination21,combination110,combination128
F1,0%,0%,0%,100%,100%,100%,100%,0%,0%,0%,0%,0%,0%,0%,0%,100%,100%,100%,0%,0%
F2,0%,0%,0%,100%,100%,100%,100%,0%,0%,0%,0%,0%,0%,0%,0%,100%,100%,80%,0%,0%
F3,0%,0%,0%,100%,100%,100%,100%,0%,0%,0%,0%,0%,0%,0%,0%,100%,100%,100%,0%,0%
F4,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
F5,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
F6,0%,0%,0%,100%,100%,100%,100%,0%,0%,0%,0%,0%,0%,0%,0%,100%,100%,100%,0%,0%
F7,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
F8,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
F9,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
F10,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
F11,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
F12,0%,0%,0%,0%,10%,10%,20%,0%,0%,0%,0%,0%,0%,0%,0%,0%,30%,10%,0%,0%
F13,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
F14,30%,40%,30%,40%,30%,30%,20%,40%,50%,50%,10%,20%,30%,10%,0%,10%,30%,70%,10%,50%
F15,70%,60%,50%,0%,0%,0%,0%,60%,70%,80%,50%,60%,90%,50%,50%,0%,0%,0%,60%,80%
F16,100%,100%,100%,100%,100%,100%,100%,90%,100%,100%,90%,100%,100%,90%,100%,100%,100%,100%,90%,100%
F17,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
F18,90%,100%,90%,100%,100%,90%,100%,100%,100%,100%,80%,90%,80%,90%,100%,90%,90%,90%,70%,90%
F19,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
F20,40%,50%,30%,30%,70%,30%,60%,50%,50%,60%,30%,30%,50%,50%,50%,40%,70%,30%,40%,60%
F21,20%,20%,30%,60%,10%,20%,30%,30%,30%,40%,40%,40%,50%,20%,20%,10%,30%,60%,20%,30%
F22,40%,10%,20%,10%,10%,0%,0%,0%,0%,30%,50%,10%,0%,20%,30%,20%,0%,30%,0%,10%
F23,30%,0%,0%,10%,40%,20%,10%,30%,10%,30%,20%,20%,0%,10%,20%,10%,20%,60%,20%,10%
