,num_generations,mutation_rate,num_individuals,crossover_rate,mutation_type,crossover_type,local_search_rate,local_search_type,search_radius,num_evaluations,fitness_function,dimensions,algorithm,gg,selection_method
0,100,0.2,500,0.2,uniform,one-point,0.2,uniform,0.01,3000,1,10,Baseline,0.01,best_and_worst
1,100,0.2,500,0.2,uniform,one-point,0.2,uniform,0.01,3000,1,10,Baseline,0.01,sorted_selection_part
2,100,0.2,500,0.2,uniform,one-point,0.2,uniform,0.01,3000,1,10,Baseline,0.01,sorted_selection_all
3,100,0.2,500,0.2,uniform,one-point,0.2,uniform,0.01,3000,1,10,Baseline,0.01,roulette_Wheel_Select
4,100,0.2,500,0.2,uniform,one-point,0.2,uniform,0.01,3000,1,10,Baseline,0.2,best_and_worst
5,100,0.2,500,0.2,uniform,one-point,0.2,uniform,0.01,3000,1,10,Baseline,0.2,sorted_selection_part
6,100,0.2,500,0.2,uniform,one-point,0.2,uniform,0.01,3000,1,10,Baseline,0.2,sorted_selection_all
7,100,0.2,500,0.2,uniform,one-point,0.2,uniform,0.01,3000,1,10,Baseline,0.2,roulette_Wheel_Select
8,100,0.2,500,0.2,uniform,one-point,0.2,uniform,0.01,3000,1,10,Baseline,0.99,best_and_worst
9,100,0.2,500,0.2,uniform,one-point,0.2,uniform,0.01,3000,1,10,Baseline,0.99,sorted_selection_part
10,100,0.2,500,0.2,uniform,one-point,0.2,uniform,0.01,3000,1,10,Baseline,0.99,sorted_selection_all
11,100,0.2,500,0.2,uniform,one-point,0.2,uniform,0.01,3000,1,10,Baseline,0.99,roulette_Wheel_Select
12,100,0.2,500,0.2,uniform,one-point,0.2,uniform,0.01,3000,1,10,Lamarck,0.01,best_and_worst
13,100,0.2,500,0.2,uniform,one-point,0.2,uniform,0.01,3000,1,10,Lamarck,0.01,sorted_selection_part
14,100,0.2,500,0.2,uniform,one-point,0.2,uniform,0.01,3000,1,10,Lamarck,0.01,sorted_selection_all
15,100,0.2,500,0.2,uniform,one-point,0.2,uniform,0.01,3000,1,10,Lamarck,0.01,roulette_Wheel_Select
16,100,0.2,500,0.2,uniform,one-point,0.2,uniform,0.01,3000,1,10,Lamarck,0.2,best_and_worst
17,100,0.2,500,0.2,uniform,one-point,0.2,uniform,0.01,3000,1,10,Lamarck,0.2,sorted_selection_part
18,100,0.2,500,0.2,uniform,one-point,0.2,uniform,0.01,3000,1,10,Lamarck,0.2,sorted_selection_all
19,100,0.2,500,0.2,uniform,one-point,0.2,uniform,0.01,3000,1,10,Lamarck,0.2,roulette_Wheel_Select
20,100,0.2,500,0.2,uniform,one-point,0.2,uniform,0.01,3000,1,10,Lamarck,0.99,best_and_worst
21,100,0.2,500,0.2,uniform,one-point,0.2,uniform,0.01,3000,1,10,Lamarck,0.99,sorted_selection_part
22,100,0.2,500,0.2,uniform,one-point,0.2,uniform,0.01,3000,1,10,Lamarck,0.99,sorted_selection_all
23,100,0.2,500,0.2,uniform,one-point,0.2,uniform,0.01,3000,1,10,Lamarck,0.99,roulette_Wheel_Select
24,100,0.2,500,0.2,uniform,one-point,0.2,uniform,0.01,3000,1,10,Baldwin,0.01,best_and_worst
25,100,0.2,500,0.2,uniform,one-point,0.2,uniform,0.01,3000,1,10,Baldwin,0.01,sorted_selection_part
