Function,combination163,combination199,combination198,combination23,combination22,combination59,combination95,combination146,combination164,combination162,combination145,combination182,combination144,combination180,combination181,combination5,combination41,combination21,combination110,combination128
F1,100%,100%,50%,100%,100%,100%,100%,100%,100%,30%,100%,100%,60%,100%,100%,100%,100%,100%,70%,80%
F2,0%,0%,0%,100%,100%,100%,100%,0%,0%,0%,20%,10%,0%,0%,0%,100%,100%,100%,0%,0%
F3,90%,100%,80%,100%,100%,100%,100%,100%,100%,50%,100%,100%,50%,90%,100%,100%,100%,100%,80%,100%
F4,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
F5,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
F6,100%,100%,60%,100%,100%,100%,100%,100%,100%,10%,100%,100%,80%,100%,100%,100%,100%,100%,100%,90%
F7,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
F8,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
F9,0%,0%,0%,100%,100%,100%,100%,0%,0%,0%,0%,0%,0%,0%,0%,100%,100%,100%,0%,0%
F10,0%,0%,0%,100%,100%,100%,100%,0%,0%,0%,0%,0%,0%,0%,0%,100%,100%,100%,0%,0%
F11,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
F12,30%,20%,20%,40%,20%,20%,30%,10%,10%,10%,10%,30%,0%,10%,20%,10%,0%,30%,20%,0%
F13,0%,0%,0%,100%,100%,100%,100%,0%,0%,0%,0%,0%,0%,0%,0%,100%,100%,100%,0%,0%
F14,0%,0%,20%,10%,0%,0%,0%,0%,10%,0%,0%,0%,10%,0%,10%,20%,0%,0%,0%,10%
F15,60%,90%,70%,0%,0%,10%,0%,40%,80%,70%,70%,50%,60%,50%,80%,10%,0%,0%,30%,80%
F16,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
F17,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
F18,100%,100%,100%,100%,100%,100%,100%,100%,90%,100%,100%,100%,100%,100%,100%,100%,100%,100%,90%,100%
F19,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
F20,50%,30%,60%,70%,40%,30%,60%,50%,30%,30%,50%,40%,40%,40%,50%,50%,60%,20%,50%,50%
F21,60%,30%,60%,30%,50%,30%,20%,20%,50%,50%,40%,50%,40%,40%,70%,20%,50%,50%,40%,40%
F22,0%,0%,70%,20%,20%,20%,10%,30%,40%,30%,30%,10%,30%,40%,30%,10%,20%,30%,20%,30%
F23,30%,30%,40%,0%,40%,20%,0%,30%,20%,20%,30%,20%,50%,20%,20%,10%,0%,20%,30%,30%
