Function,combination163,combination199,combination198,combination23,combination22,combination59,combination95,combination146,combination164,combination162,combination145,combination182,combination144,combination180,combination181,combination5,combination41,combination21,combination110,combination128
F1,100%,100%,40%,100%,100%,100%,100%,100%,100%,80%,100%,100%,100%,90%,100%,100%,100%,100%,100%,100%
F2,0%,0%,0%,100%,100%,100%,100%,10%,0%,0%,0%,0%,0%,0%,0%,100%,100%,100%,0%,0%
F3,100%,100%,70%,100%,100%,100%,100%,100%,100%,80%,100%,100%,90%,90%,100%,100%,100%,100%,100%,100%
F4,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,20%,0%,0%,0%
F5,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
F6,100%,100%,30%,100%,100%,100%,100%,100%,100%,90%,100%,100%,90%,90%,100%,100%,100%,100%,100%,100%
F7,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
F8,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
F9,0%,0%,0%,100%,100%,100%,100%,0%,0%,0%,0%,0%,0%,0%,0%,100%,100%,100%,0%,0%
F10,0%,0%,0%,100%,100%,100%,100%,0%,0%,0%,0%,0%,0%,0%,0%,100%,100%,100%,0%,0%
F11,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,20%,0%,0%
F12,0%,0%,0%,100%,100%,100%,100%,0%,0%,0%,0%,0%,0%,0%,0%,100%,100%,100%,0%,0%
F13,0%,0%,0%,100%,100%,100%,100%,0%,0%,0%,0%,0%,0%,0%,0%,100%,100%,100%,0%,0%
F14,10%,0%,0%,10%,10%,0%,10%,0%,20%,10%,10%,10%,0%,0%,10%,0%,0%,0%,30%,30%
F15,40%,60%,60%,0%,10%,0%,0%,50%,70%,70%,60%,60%,50%,50%,70%,0%,10%,0%,80%,60%
F16,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
F17,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
F18,100%,100%,100%,100%,100%,100%,100%,90%,100%,100%,100%,90%,100%,100%,100%,100%,100%,100%,90%,100%
F19,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
F20,40%,60%,60%,20%,10%,20%,50%,40%,30%,50%,40%,40%,20%,50%,60%,60%,40%,30%,80%,60%
F21,30%,50%,50%,40%,60%,50%,10%,40%,30%,30%,40%,40%,40%,40%,50%,30%,20%,60%,30%,20%
F22,40%,20%,40%,20%,50%,40%,30%,10%,40%,50%,30%,30%,40%,60%,30%,10%,30%,40%,30%,40%
F23,50%,50%,40%,20%,30%,10%,30%,10%,10%,60%,30%,0%,50%,50%,30%,50%,20%,40%,30%,60%
